LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,BAD
1100,25860,39025,1,6,10.5,0,0,94.36666667,1,9,39.38764489,1
1300,70053,68400,1,6,7,0,2,121.8333333,0,14,39.38764489,1
1500,13500,16700,1,6,4,0,0,149.4666667,1,10,39.38764489,1
1500,69460.45297,98172.84623,0,6,8.027802491,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
1700,97800,112000,1,1,3,0,0,93.33333333,0,14,33.25312863,0
1700,30548,40320,1,6,9,0,0,101.4660019,1,8,37.11361356,1
1800,28502,43034,1,6,11,0,0,88.76602988,0,8,36.88489409,1
2000,32700,46740,1,6,3,0,2,216.9333333,1,12,39.38764489,1
2000,69460.45297,62250,1,3,16,0,0,115.8,0,13,39.38764489,1
2000,22608,98172.84623,0,6,18,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
2000,20627,29800,1,1,11,0,1,122.5333333,1,9,39.38764489,1
2000,45000,55000,1,6,3,0,0,86.06666667,2,25,39.38764489,1
2000,64536,87400,0,2,2.5,0,0,147.1333333,0,24,33.25312863,0
2100,71000,83850,1,6,8,0,1,123,0,16,39.38764489,1
2200,24280,34687,1,6,8.027802491,0,1,300.8666667,0,8,39.38764489,1
2300,28192,40150,1,6,4.5,0,0,54.6,1,16,39.38764489,1
2300,102370,120953,1,1,2,0,0,90.99253347,0,13,31.58850318,0
2300,37626,46200,1,6,3,0,1,122.2666667,1,14,39.38764489,1
2400,50000,73395,1,4,5,1,0,150.1901834,1,0,39.38764489,1
2400,28000,40800,1,2,12,0,0,67.2,2,22,39.38764489,1
2400,18000,98172.84623,1,2,22,0,2,121.7333333,0,10,39.38764489,1
2400,69460.45297,17180,1,6,8.027802491,0,0,14.56666667,3,4,39.38764489,1
2400,34863,47471,1,2,12,0,0,70.49108003,1,21,38.26360073,1
2400,98449,117195,1,1,4,0,0,93.81177486,0,13,29.68182705,0
2500,15000,20200,1,6,18,0,0,136.0666667,1,19,39.38764489,1
2500,25116,36350,1,6,10,1,2,276.9666667,0,9,39.38764489,1
2500,7229,44516,1,5,9.154940986,0,0,208,0,12,33.25312863,0
2500,71408,78600,1,4,8,0,0,255.7333333,0,12,33.25312863,0
2900,78600,113000,0,4,6,1,0,165.3333333,2,26,39.38764489,1
2900,103949,112505,1,1,1,0,0,96.10232967,0,13,30.05113629,0
2900,104373,120702,1,1,2,0,0,101.5402975,0,13,29.91585903,0
2900,61962,70915,0,2,2,0,0,282.8016592,3,37,49.20639579,1
3000,104570,121729,1,1,2,0,0,85.8843719,0,14,32.05978327,0
3000,7000,20300,1,6,3,0,0,50.8,5,9,39.38764489,1
3000,69460.45297,8800,1,6,2,0,1,77.76666667,0,3,39.38764489,1
3000,69460.45297,33000,1,6,1,0,1,23.3,1,2,39.38764489,1
3000,119826,193500,1,6,8,0,0,130.0333585,0,27,39.38764489,1
3000,20000,29750,0,6,2,0,0,187.0666667,0,12,39.38764489,1
3000,69460.45297,14100,1,6,1,0,0,104.2,0,19,39.38764489,1
3000,47000,82700,1,4,10,0,1,262.1666667,5,26,39.38764489,1
3000,34542,45900,1,2,8.5,0,2,62.36666667,0,10,39.38764489,1
3000,58000,71500,1,2,10,0,2,211.9333333,0,25,33.25312863,0
3000,47000,56400,1,1,21,0,0,201.8666667,0,20,33.25312863,0
3100,39589,36100,1,6,1.5,0,0,153.1666667,1,14,39.38764489,1
3100,74829.24905,70400,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,33.25312863,0
